;;;;;;;;;;;;;;;;;;;
<INITIAL>;2;;1;;;;;;;;;;;;;;;;
<MAIN_PCKG_NEXT>;;3;4;;;;;;;;;;;;;;;;
<FUNC_NEXT>;;;5;6;;;;;;;;;;;;;;;
<FUNC_NAME>;;;;;7;;;;;;;;;;;;;;
<FUNC_PARAM_NAME>;;;8;;;9;10;11;;;;;;;;;;;
<FUNC_COMMA_END>;;;;;;;12;;13;;;;;;;;;;
<FUNC_RET_TYPE>;;;;;;;;14;;15;16;;;;;;;;
<FUNC_PARAM_TYPE>;;;;;;;;;;;;;;;;;;;
<OCB_NEXT>;;;;;;;;;;;30;;;;;;;;
<RET_TYPE_OB>;;;20;;;18;19;17;;;;;;;;;;;
<RET_TYPE_COMMA>;;;;;;;22;;21;;;;;;;;;;
<NAMED_RET_TYPES>;;;;;;;;25;;;;;;;;;;;
<MUL_RET_TYPES>;;;24;;;;;23;;;;;;;;;;;
<NRET_TYPE_COMMA>;;;;;;;26;;27;;;;;;;;;;
<RET_NAME>;;;29;;;28;;;;;;;;;;;;;
<STATEMENT>;;;31;;36;34;;;;;;33;32;35;;;;;
<CYCLE>;;;;;;;;;;;;;;;;;;;43
<CONDITION>;;;;;;;;;;;;;;;;;;;38
<ASSIGN>;;;;;;62;;;;;;;;;37;;;;
<RETURN>;;;69;;;;;;;;;;;;;;;;70
<IF_COND>;;;41;;;;;;;;;42;;;;;;;
<ELSE_COND>;;;;;;;;;;;;;;;;40;;;39
<FOR1>;;;46;;;44;;;;;;;;;;;;;45
<FOR3>;;;55;;;53;;;;;55;;;;;;;;54
<FOR1_ASSIGN>;;;;;;;;;48;;;;;;;;;47;
<FOR3_ASSIGN>;;;;;;;;;57;;;;;;56;;;;
<FOR1_MULTI_ASSIGN>;;;51;;;50;;;;;;;;;;;;;
<FOR1_MA_COMMA>;;;;;;;;;51;;;;;;;;;52;
<FOR3_MULTI_ASSIGN>;;;59;;;58;;;;;;;;;;;;;
<FOR3_MA_COMMA>;;;;;;;;;60;;;;;;61;;;;
<ASSIGN_COMMA_EQ>;;;;;;;;;64;;;;;;63;;;;
<MULTI_ASSIGN>;;;66;;;65;;;63;;;;;;64;;;;
<MULTI_ASSIGN_COMMA>;;;;;;;;;67;;;;;;68;;;;